Job Title,Company Name,Job Location,Salary Information,Mode of Work,Industry,State,Lower Salary Range USD(k/yr),Upper Salary Range USD(k/yr),Mean Salary Range USD(k/yr)
Enterprise Account Executive ,Confluent,"Michigan, United States",$131.4K/yr - $154.4K/yr,Remote,Business,MI,131.4,154.4,142.9
Professional Services Consultant - Networking/Security/Wireless ,LogicalisUS,"Corona, CA",$130K/yr - $150K/yr,On-site,Tech,CA,130.0,150.0,140.0
Executive Partner - CTO Advisory - Infrastructure & Operations - Global Enterprises ,Gartner,"Texas, United States",$164.8K/yr - $192K/yr · 401(k),Remote,Business,TX,164.8,192.0,178.4
"Escalation Engineer (EM), Escalation & Event Management Team (E2M) ",Amazon Web Services (AWS),"Seattle, WA",$86K/yr - $185K/yr,On-site,Tech,WA,86.0,185.0,135.5
Workday AMS Integrations Consultant ,Deloitte,"St Louis, MO",$97.9K/yr - $163.1K/yr,Hybrid,Business,MO,97.9,163.1,130.5
Sr. Engineering Project Manager - Control Systems Engineering ,"Liberty Personnel Services, Inc.","Hebron, TX",$125K/yr - $225K/yr,On-site,Tech,TX,125.0,225.0,175.0
Retail Sales Associate ,Verizon,"Redmond, WA","$49K/yr - $59K/yr · 401(k), +1",On-site,Retail,WA,49.0,59.0,54.0
AWS Infrastructure Architect/DevOps Lead Engineer ,Deloitte,"Houston, TX",$102.8K/yr - $171.2K/yr,Hybrid,Tech,TX,102.8,171.2,137.0
"Sr. Supply Chain Manager, Amazon Funded Buy Sell ",Amazon Web Services (AWS),"Seattle, WA",$133.2K/yr - $220.2K/yr,On-site,Other,WA,133.2,220.2,176.7
Workday AMS Integrations Consultant ,Deloitte,"Dayton, OH",$97.9K/yr - $163.1K/yr,Hybrid,Business,OH,97.9,163.1,130.5
Oracle Unity CDP Technical Senior Consultant ,Deloitte,"Portland, OR",$125K/yr - $208.2K/yr,Hybrid,Business,OR,125.0,208.2,166.6
Software Developer 4 ,Oracle,United States,"$94.2K/yr - $223.5K/yr · Vision, 401(k), +1",Remote,Tech,,94.2,223.5,158.85
"Retail Cosmetics Sales Leader - Prestige Beauty, Vancouver - Full Time ",Macy's,"Vancouver, WA","$17.33/hr - $26.78/hr · 401(k), +1",On-site,Retail,WA,36.04639999999999,55.702400000000004,45.874399999999994
"Sr. Partner Sales Manager, Enterprise ",Amazon Web Services (AWS),"Chicago, IL",$128.5K/yr - $212.5K/yr,On-site,Business,IL,128.5,212.5,170.5
"Professional Services HCLS Leader - NAMER, ProServe NAMER ",Amazon Web Services (AWS),"New York, United States",$180.9K/yr - $312.8K/yr,On-site,Other,NY,180.9,312.8,246.85000000000002
Major Incident Response Specialist ,Leidos,"Camp Springs, MD",$68.9K/yr - $124.6K/yr,On-site,Other,MD,68.9,124.6,96.75
Software Developer 3 ,Oracle,United States,"$74.8K/yr - $178.2K/yr · Vision, 401(k), +1",Remote,Tech,,74.8,178.2,126.5
"Senior Applications Engineer - Fullstack (Java, JavaScript) ",Oracle,"Santa Clara, CA","$81.5K/yr - $178.2K/yr · Vision, 401(k), +1",On-site,Tech,CA,81.5,178.2,129.85
Workday AMS Integrations Consultant ,Deloitte,"Chicago, IL",$97.9K/yr - $163.1K/yr,Hybrid,Business,IL,97.9,163.1,130.5
SDN Software Engineer ,Leidos,"Odenton, MD",$65K/yr - $117.5K/yr,Hybrid,Tech,MD,65.0,117.5,91.25
Information System Security Engineer (ISSE) ,ManTech,"Washington, DC",$109.1K/yr - $181.1K/yr,On-site,Tech,DC,109.1,181.1,145.1
Senior Project Manager ,Trissential,"Milwaukee, WI",$85/hr - $95/hr,On-site,Other,WI,176.8,197.6,187.2
Senior Data Engineer ,Synechron,"New York, NY",$120K/yr - $145K/yr · 2 benefits,On-site,Tech,NY,120.0,145.0,132.5
Workday AMS Integrations Consultant ,Deloitte,"San Diego, CA",$97.9K/yr - $163.1K/yr,Hybrid,Business,CA,97.9,163.1,130.5
"Sr. Technical Program Manager, Hardware Engineering, Archival Storage ",Amazon Web Services (AWS),"Denver, CO",$133.9K/yr - $231.4K/yr,On-site,Tech,CO,133.9,231.4,182.65
"Director, IT Audit ",GitLab,United States,$176K/yr - $330K/yr,Remote,Other,,176.0,330.0,253.0
Oracle Unity CDP Technical Senior Consultant ,Deloitte,"San Diego, CA",$125K/yr - $208.2K/yr,Hybrid,Business,CA,125.0,208.2,166.6
Workday AMS Integrations Consultant ,Deloitte,"Columbus, OH",$97.9K/yr - $163.1K/yr,Hybrid,Business,OH,97.9,163.1,130.5
Oracle Unity CDP Technical Senior Consultant ,Deloitte,"Houston, TX",$125K/yr - $208.2K/yr,Hybrid,Business,TX,125.0,208.2,166.6
"Senior Sales Executive, Mid-Law ",Thomson Reuters,"Las Vegas, NV","$182K/yr - $371.8K/yr · 401(k), +2 benefits",Remote,Business,NV,182.0,371.8,276.9
"Customer Success Manager, Resi","Resi Media, LLC","Allen, TX",$10K/yr - $60K/yr · 401(k),Hybrid,Other,TX,10.0,60.0,35.0
Pricing Senior Manager ,Verizon,"Rolling Meadows, IL","$97K/yr - $181K/yr · 401(k), +1",Hybrid,Other,IL,97.0,181.0,139.0
"Senior Data Engineer, 3PX Private Pricing - Analytics & Insights, 3PX, Analytics & Insights ",Amazon Web Services (AWS),"Arlington, VA",$139.1K/yr - $240.5K/yr,On-site,Tech,VA,139.1,240.5,189.8
Senior Systems Architect ,ManTech,"Fort Meade, MD",$109.1K/yr - $181.1K/yr,On-site,Other,MD,109.1,181.1,145.1
Developer ,Tata Consultancy Services,"Cleveland, OH",$90K/yr - $110K/yr,On-site,Tech,OH,90.0,110.0,100.0
AWS Infrastructure Architect/DevOps Lead Engineer ,Deloitte,"Charlotte, NC",$102.8K/yr - $171.2K/yr,Hybrid,Tech,NC,102.8,171.2,137.0
Database Developer / Engineer ,Jobot,"Cincinnati, OH",$100K/yr - $140K/yr,Remote,Tech,OH,100.0,140.0,120.0
Site Level Accountant L3,NTT Global Data Centers,"Connecticut, United States",$89.6K/yr - $128.2K/yr · 401(k),Hybrid,Business,CT,89.6,128.2,108.89999999999999
Software Engineer,Momentum LLC (US),Greater Indianapolis,$90K/yr - $115K/yr + Bonus,Hybrid,Tech,IN,90.0,115.0,102.5
"Retail Cosmetics Sales Beauty Advisor - Tom Ford, South Coast Plaza - Part Time ",Macy's,"Costa Mesa, CA","$16.50/hr - $23.10/hr · 401(k), +1",On-site,Retail,CA,34.32,48.048,41.184
Certified TEMPEST Technical Representative (CTTR) with TS/SCI Clearance ,AMERICAN SYSTEMS,"Arlington, VA",$165K/yr - $180K/yr,On-site,Other,VA,165.0,180.0,172.5
Workday AMS Integrations Consultant ,Deloitte,"Des Moines, IA",$97.9K/yr - $163.1K/yr,Hybrid,Business,IA,97.9,163.1,130.5
Field Operations Manager ,Verizon,"Buffalo, NY","$83K/yr - $153K/yr · 401(k), +1",On-site,Other,NY,83.0,153.0,118.0
Oracle Unity CDP Technical Senior Consultant ,Deloitte,"Des Moines, IA",$125K/yr - $208.2K/yr,Hybrid,Business,IA,125.0,208.2,166.6
Workday AMS Integrations Consultant ,Deloitte,Greater Sacramento,$97.9K/yr - $163.1K/yr,Hybrid,Business,,97.9,163.1,130.5
Director - Certification Programs ,Veeva Systems,"Pleasanton, CA",$125K/yr - $200K/yr,Remote,Other,CA,125.0,200.0,162.5
Technical Lead ,Tata Consultancy Services,"King of Prussia, PA",$110K/yr - $130K/yr,On-site,Other,PA,110.0,130.0,120.0
Principal Software Engineer - Ansible ,Red Hat,"Durham, NC",$142.1K/yr - $234.5K/yr · 401(k),Hybrid,Tech,NC,142.1,234.5,188.3
"Analytics & Insights Lead, CS SSOE WW SIADS - Strategic Initiatives ",Amazon Web Services (AWS),"Arlington, VA",$124.5K/yr - $206K/yr,On-site,Other,VA,124.5,206.0,165.25
"Software Development Engineer, S3 ",Amazon Web Services (AWS),"Seattle, WA",$151.3K/yr - $261.5K/yr,On-site,Tech,WA,151.3,261.5,206.4
Security Specialist I ,TierPoint,United States,$23.72/hr - $35.58/hr,Remote,Other,,49.3376,74.0064,61.672
Associate Field Service Engineer ,Elekta,"Indiana, United States",$65K/yr - $75K/yr · 401(k),Remote,Tech,IN,65.0,75.0,70.0
"Senior Data Engineer, 3PX Private Pricing - Analytics & Insights, 3PX, Analytics & Insights ",Amazon Web Services (AWS),"Seattle, WA",$139.1K/yr - $240.5K/yr,On-site,Tech,WA,139.1,240.5,189.8
SOC Technical Project Manager ,"Tyto Athene, LLC","Washington, DC",$125K/yr - $145K/yr · 7 benefits,Remote,Other,DC,125.0,145.0,135.0
"VP, Sales IT Consulting/Professional Services ","Right Executive Search, LLC",United States,$200K/yr - $250K/yr · 6 benefits,Remote,Retail,,200.0,250.0,225.0
Workday AMS Integrations Consultant ,Deloitte,"Pleasanton, CA",$97.9K/yr - $163.1K/yr,Hybrid,Business,CA,97.9,163.1,130.5
"Channel Sales Manager - Salesforce, Financial Services Industry ",Deloitte,Greater Cleveland,$137.7K/yr - $229.5K/yr,Hybrid,Retail,,137.7,229.5,183.6
Oracle Unity CDP Technical Senior Consultant ,Deloitte,"San Antonio, TX",$125K/yr - $208.2K/yr,Hybrid,Business,TX,125.0,208.2,166.6
FSO - Technology Consulting - Life Insurance - Technology Transformation Strategy - Manager ,EY,"Columbus, OH",$141.2K/yr - $258.9K/yr · 401(k),On-site,Other,OH,141.2,258.9,200.04999999999998
Head of Corporate and G&A Finance ,Cloudflare,"Austin, TX","$261K/yr - $355K/yr · Dental, Vision, 401(k), Medical, +1",Hybrid,Other,TX,261.0,355.0,308.0
"Exercise Planner, Senior ",Booz Allen Hamilton,"Honolulu, HI",$67.7K/yr - $154K/yr · 1,On-site,Other,HI,67.7,154.0,110.85
"Retail Cosmetics Sales Beauty Advisor, Tucson Mall - Flex ",Macy's,"Tucson, AZ","$15/hr - $21/hr · 401(k), +1",On-site,Retail,AZ,31.2,43.68,37.44
Workday AMS Integrations Consultant ,Deloitte,"Grand Rapids, MI",$97.9K/yr - $163.1K/yr,Hybrid,Business,MI,97.9,163.1,130.5
"Channel Sales Manager - Salesforce, Financial Services Industry ",Deloitte,"Nashville, TN",$137.7K/yr - $229.5K/yr,Hybrid,Retail,TN,137.7,229.5,183.6
"Sr. Product Manager (Technical) - External Services, AWS Insights, AWS Insights and Optimization, AWS Insights and Optimization ",Amazon Web Services (AWS),"New York, United States",$137K/yr - $236.8K/yr,On-site,Other,NY,137.0,236.8,186.9
Oracle Unity CDP Technical Senior Consultant ,Deloitte,"Tampa, FL",$125K/yr - $208.2K/yr,Hybrid,Business,FL,125.0,208.2,166.6
"Retail Cosmetics Sales Counter Manager - Trend Beauty, Polaris - Full Time ",Macy's,"Columbus, OH","$16.50/hr - $25.50/hr · 401(k), +1",On-site,Retail,OH,34.32,53.04,43.68
Software Developer ,Oracle,United States,"$74.8K/yr - $178.2K/yr · Vision, 401(k), +1",Remote,Tech,,74.8,178.2,126.5
